"NSC_name","NSC_id","hemisphere"
"l-NSC","720575940630046506","right"
"l-NSC","720575940629808911","right"
"l-NSC","720575940629872971","right"
"l-NSC","720575940627436035","right"
"l-NSC","720575940642666440","right"
"l-NSC","720575940619845552","right"
"l-NSC","720575940620332141","right"
"l-NSC","720575940620503512","right"
"l-NSC","720575940636633848","right"
"l-NSC","720575940622880525","right"
"l-NSC","720575940633416275","right"
"l-NSC","720575940626841354","right"
"l-NSC","720575940620926740","right"
"l-NSC","720575940624041203","right"
"l-NSC","720575940619186240","right"
"l-NSC","720575940626878214","right"
"l-NSC","720575940625054901","right"
"m-NSC","720575940629974531","medial"
"m-NSC","720575940644562286","medial"
"m-NSC","720575940631884883","medial"
"m-NSC","720575940647963513","medial"
"m-NSC","720575940638274688","medial"
"m-NSC","720575940612923390","medial"
"m-NSC","720575940625379859","medial"
"m-NSC","720575940623011845","medial"
"m-NSC","720575940613520351","medial"
"m-NSC","720575940618694827","medial"
"m-NSC","720575940635861146","medial"
"m-NSC","720575940608157397","medial"
"m-NSC","720575940622872870","medial"
"m-NSC","720575940628199802","medial"
"m-NSC","720575940611254681","medial"
"m-NSC","720575940631570380","medial"
"m-NSC","720575940643539566","medial"
"m-NSC","720575940628756951","medial"
"m-NSC","720575940615911380","medial"
"m-NSC","720575940623401703","medial"
"m-NSC","720575940615043112","medial"
"m-NSC","720575940624064295","medial"
"m-NSC","720575940629938895","medial"
"SEZ-NSC","720575940627293201","right"
"SEZ-NSC","720575940643847022","right"
"SEZ-NSC","720575940618736797","right"
"l-NSC","720575940625721118","left"
"l-NSC","720575940629924091","left"
"l-NSC","720575940631592017","left"
"l-NSC","720575940613850262","left"
"l-NSC","720575940609268316","left"
"l-NSC","720575940610895474","left"
"l-NSC","720575940614254534","left"
"l-NSC","720575940644303639","left"
"l-NSC","720575940646225006","left"
"l-NSC","720575940625796839","left"
"l-NSC","720575940617626235","left"
"l-NSC","720575940622644872","left"
"l-NSC","720575940611186034","left"
"l-NSC","720575940628362993","left"
"l-NSC","720575940625878909","left"
"l-NSC","720575940634288735","left"
"l-NSC","720575940632080429","left"
"m-NSC","720575940626619398","medial"
"m-NSC","720575940610467682","medial"
"m-NSC","720575940623081400","medial"
"m-NSC","720575940618385718","medial"
"m-NSC","720575940614623455","medial"
"m-NSC","720575940620628957","medial"
"m-NSC","720575940628363820","medial"
"m-NSC","720575940610733797","medial"
"m-NSC","720575940650527222","medial"
"m-NSC","720575940632436307","medial"
"m-NSC","720575940622897639","medial"
"m-NSC","720575940624606502","medial"
"m-NSC","720575940616153371","medial"
"m-NSC","720575940603765280","medial"
"m-NSC","720575940614107298","medial"
"m-NSC","720575940626375164","medial"
"m-NSC","720575940604934502","medial"
"SEZ-NSC","720575940637851069","left"
"SEZ-NSC","720575940638394446","left"
"SEZ-NSC","720575940620829878","left"
