root_id,morphology_cluster
720575940618237953,MC_1.282
720575940625437698,MC_1.282
720575940621936653,MC_1.282
720575940623940622,MC_1.282
720575940617034779,MC_1.282
720575940626695196,MC_1.282
720575940617390107,MC_1.282
720575940624755742,MC_1.282
720575940647055395,MC_1.282
720575940622440486,MC_1.282
720575940629224492,MC_1.282
720575940631863341,MC_1.282
720575940631867437,MC_1.282
720575940613068851,MC_1.282
720575940613268531,MC_1.282
720575940637044799,MC_1.282
720575940637022271,MC_1.282
720575940608874564,MC_1.282
720575940639163462,MC_1.282
720575940631298119,MC_1.282
720575940637589574,MC_1.282
720575940638200910,MC_1.282
720575940628727887,MC_1.282
720575940627865682,MC_1.282
720575940631673939,MC_1.282
720575940615593044,MC_1.282
720575940638981208,MC_1.282
720575940625201241,MC_1.282
720575940625822809,MC_1.282
720575940620991582,MC_1.282
720575940633717856,MC_1.282
720575940611520610,MC_1.282
720575940634144875,MC_1.282
720575940631152748,MC_1.282
720575940629421164,MC_1.282
720575940629416044,MC_1.282
720575940620110964,MC_1.282
720575940620517492,MC_1.282
720575940621712500,MC_1.282
720575940625956989,MC_1.282
720575940629338238,MC_1.282
720575940627684477,MC_1.282
720575940628537470,MC_1.282
720575940639874189,MC_1.282
720575940635554958,MC_1.282
720575940626730127,MC_1.282
720575940622906515,MC_1.282
720575940622015635,MC_1.282
720575940619071646,MC_1.282
720575940616004767,MC_1.282
720575940612941991,MC_1.282
720575940615235751,MC_1.282
720575940613980335,MC_1.282
720575940620470448,MC_1.282
720575940605386930,MC_1.282
720575940634764468,MC_1.282
720575940634729652,MC_1.282
720575940616352953,MC_1.282
720575940624991418,MC_1.282
720575940623289532,MC_1.282
720575940619550913,MC_1.282
720575940606661833,MC_1.282
720575940631772367,MC_1.282
720575940614720721,MC_1.282
720575940611300570,MC_1.282
720575940636578014,MC_1.282
720575940632631521,MC_1.282
720575940632610017,MC_1.282
720575940612125923,MC_1.282
720575940616637670,MC_1.282
720575940626847976,MC_1.282
720575940637050089,MC_1.282
720575940625234156,MC_1.282
720575940651192566,MC_1.282
720575940634499320,MC_1.282
720575940626667772,MC_1.282
720575940623154429,MC_1.282
720575940627019004,MC_1.282
720575940622745853,MC_1.282
720575940622317823,MC_1.282
720575940625836290,MC_1.282
720575940627109123,MC_1.282
720575940627502342,MC_1.282
720575940626871558,MC_1.282
720575940609222921,MC_1.282
720575940607064331,MC_1.282
720575940614581516,MC_1.282
720575940630147343,MC_1.282
720575940627675408,MC_1.282
720575940627764497,MC_1.282
720575940617025821,MC_1.282
720575940604281120,MC_1.282
720575940624857381,MC_1.282
720575940622176550,MC_1.282
720575940622556457,MC_1.282
720575940629933354,MC_1.282
720575940627643691,MC_1.282
720575940631811373,MC_1.282
720575940638401845,MC_1.282
720575940630560056,MC_1.282
720575940630427961,MC_1.282
720575940637543750,MC_1.282
720575940628394312,MC_1.282
720575940624387401,MC_1.282
720575940630265163,MC_1.282
720575940624238925,MC_1.282
720575940638197070,MC_1.282
720575940640023886,MC_1.282
720575940637270362,MC_1.282
720575940635387237,MC_1.282
720575940628050279,MC_1.282
720575940627871081,MC_1.282
720575940644096366,MC_1.282
720575940644713838,MC_1.282
720575940621967732,MC_1.282
720575940620113268,MC_1.282
720575940636746103,MC_1.282
720575940635339127,MC_1.282
720575940617632123,MC_1.282
720575940617983355,MC_1.282
720575940625901949,MC_1.282
720575940625902973,MC_1.282
720575940629771257,MC_1.282
720575940659229057,MC_1.282
720575940619637126,MC_1.282
720575940622437770,MC_1.282
720575940635183502,MC_1.282
720575940624625040,MC_1.282
720575940613693842,MC_1.282
720575940610717077,MC_1.282
720575940625813912,MC_1.282
720575940616794525,MC_1.282
720575940618046878,MC_1.282
720575940638463395,MC_1.282
720575940614639015,MC_1.282
720575940606549426,MC_1.282
720575940622805431,MC_1.282
720575940627175879,MC_1.282
720575940631140812,MC_1.282
720575940632413651,MC_1.282
720575940622932438,MC_1.282
720575940611886554,MC_1.282
720575940638071262,MC_1.282
720575940603578848,MC_1.282
720575940623452651,MC_1.282
720575940612559341,MC_1.282
720575940639453685,MC_1.282
720575940650033654,MC_1.282
720575940630009339,MC_1.282
720575940616016385,MC_1.282
720575940609269259,MC_1.282
720575940623595021,MC_1.282
720575940626415121,MC_1.282
