cluster;gene;avrg_expression;pct_expression;ligand
l-LNv;AstA-R1;-0.074;92.85714286;AstA
s-LNv;AstA-R1;-0.352;69.90881459;AstA
LN_ITP;AstA-R1;0.434;94.65648855;AstA
LNd_NPF;AstA-R1;-0.01;78.78787879;AstA
LNd_Trissin;AstA-R1;1.308;96.875;AstA
LPN;AstA-R1;0.982;98.11320755;AstA
DN3;AstA-R1;-0.555;54.94505495;AstA
DN3_VGlut;AstA-R1;0.048;86.29032258;AstA
DN2;AstA-R1;-0.314;79.41176471;AstA
DN1p_sNPF;AstA-R1;1.125;94.84536082;AstA
DN1p;AstA-R1;-0.275;77.85234899;AstA
DN1p_AstA;AstA-R1;0.064;72.4137931;AstA
DN1p_CNMa;AstA-R1;0.036;74.78991597;AstA
DN1p_CNMa_AstC;AstA-R1;-0.038;82.03125;AstA
DN1p_Rh7;AstA-R1;-0.45;55.8685446;AstA
DN1a;AstA-R1;-0.424;59.72222222;AstA
l-LNv;AstC-R1;-0.044;44.28571429;AstC
s-LNv;AstC-R1;0.193;64.43768997;AstC
LN_ITP;AstC-R1;0.017;48.09160305;AstC
LNd_NPF;AstC-R1;-0.041;46.96969697;AstC
LNd_Trissin;AstC-R1;-0.037;36.25;AstC
LPN;AstC-R1;0.427;50.94339623;AstC
DN3;AstC-R1;0.229;68.13186813;AstC
DN3_VGlut;AstC-R1;0.089;46.77419355;AstC
DN2;AstC-R1;0.003;47.05882353;AstC
DN1p_sNPF;AstC-R1;-0.036;32.98969072;AstC
DN1p;AstC-R1;-0.329;12.08053691;AstC
DN1p_AstA;AstC-R1;-0.072;35.17241379;AstC
DN1p_CNMa;AstC-R1;-0.022;52.94117647;AstC
DN1p_CNMa_AstC;AstC-R1;-0.029;37.76041667;AstC
DN1p_Rh7;AstC-R1;-0.032;35.68075117;AstC
DN1a;AstC-R1;-0.024;42.59259259;AstC
l-LNv;AstC-R2;0.138;77.14285714;AstC
s-LNv;AstC-R2;1.99;96.65653495;AstC
LN_ITP;AstC-R2;-0.254;62.59541985;AstC
LNd_NPF;AstC-R2;-0.073;67.8030303;AstC
LNd_Trissin;AstC-R2;-0.199;75;AstC
LPN;AstC-R2;1.248;96.22641509;AstC
DN3;AstC-R2;-0.399;71.42857143;AstC
DN3_VGlut;AstC-R2;-0.022;76.61290323;AstC
DN2;AstC-R2;-0.202;63.7254902;AstC
DN1p_sNPF;AstC-R2;-0.408;57.73195876;AstC
DN1p;AstC-R2;-0.493;58.38926174;AstC
DN1p_AstA;AstC-R2;0.059;79.31034483;AstC
DN1p_CNMa;AstC-R2;-0.015;83.19327731;AstC
DN1p_CNMa_AstC;AstC-R2;-0.55;44.53125;AstC
